genre,word,weight
action,kill,4.190466564793301
action,kills,4.180671615410342
action,gang,4.045289065078757
action,fight,3.5278108330958746
action,agent,3.170325056112366
action,killed,2.9144018260452094
action,team,2.874687874295504
action,battle,2.7815128653541215
action,escape,2.701978746972095
action,henchmen,2.6896841510560314
science fiction,earth,7.422044293544902
science fiction,alien,5.973083841721941
science fiction,dr,4.976293869341538
science fiction,space,4.4565243445209815
science fiction,planet,4.377976279343681
science fiction,lab,3.8995664005223847
science fiction,creature,3.6431014375188555
science fiction,human,3.5260452244963734
science fiction,power,3.395331468887089
science fiction,monster,3.3768689708944684
adventure,ship,3.7609950390867914
adventure,king,3.4570840964196683
adventure,escape,2.9203847958510605
adventure,island,2.8835279021346785
adventure,tribe,2.653296196886659
adventure,captured,2.514685470758609
adventure,treasure,2.338679549301547
adventure,bond,2.2490664497372914
adventure,rescue,2.1899281976247638
adventure,animals,2.131573562011836
drama,mother,3.3304856940502745
drama,relationship,2.8742990559666586
drama,life,2.7884754030813217
drama,young,2.744491574269011
drama,home,2.427427376411871
drama,asks,2.1186212398303725
drama,father,2.0573106614999754
drama,son,2.028605517828117
drama,says,1.9459136423432373
drama,leaves,1.9085307335147805
crime,police,9.041191385243863
crime,murder,5.246407924140036
crime,money,4.883773759522461
crime,prison,4.310146006601624
crime,drug,4.0950181496637725
crime,gang,4.076215005244433
crime,crime,3.9220777752806235
crime,fbi,3.8185375379230138
crime,robbery,3.3662383313259916
crime,heist,3.3357956373534847
thriller,police,4.7550331626328655
thriller,kill,4.057847422832413
thriller,kills,3.9235909781348073
thriller,murder,3.862704320922864
thriller,killed,3.1195133393685315
thriller,death,2.973697961476764
thriller,shoots,2.8982840083221464
thriller,killing,2.8206410760558125
thriller,killer,2.7311320826064613
thriller,escape,2.5365544562400557
comedy,wedding,3.7245290961870183
comedy,date,2.723423572662124
comedy,stooges,2.3916036431234837
comedy,sex,2.3719428998535625
comedy,kiss,2.196119542426081
comedy,accidentally,2.170395932151508
comedy,kids,2.059975328001269
comedy,dinner,2.010870690071876
comedy,mr,1.953252759014107
comedy,stan,1.8787999610658879
romance,love,9.226743056550998
romance,relationship,5.96816592571605
romance,wedding,4.385431085969003
romance,marry,3.6231587404865513
romance,marriage,3.603830498464662
romance,kiss,3.453689853684023
romance,date,3.1507846213775936
romance,feelings,3.141618844200309
romance,meets,2.8627641430709514
romance,married,2.652466744635224
western,town,9.928173843807542
western,ranch,6.412377740304512
western,gold,5.925959054592653
western,sheriff,5.860472230660491
western,horse,5.588623014729527
western,cattle,5.558238431497998
western,saloon,5.197823274644262
western,men,4.998095504138109
western,gang,4.891637272671166
western,outlaw,4.053269747103083
fantasy,powers,4.542646558978349
fantasy,magic,3.760012599742967
fantasy,world,3.3883352810338097
fantasy,magical,3.1362430821672933
fantasy,forest,2.8535674674123386
fantasy,spell,2.6867883759085522
fantasy,god,2.678410627123867
fantasy,book,2.6414726623627045
fantasy,ghost,2.63827007031714
fantasy,monster,2.581407884843422
war,war,9.917360285396752
war,german,7.77326845617356
war,soldiers,6.290958796450012
war,japanese,5.155005374258814
war,army,4.337530254695043
war,british,3.9924847076326713
war,germans,3.9764968180285285
war,mission,3.71811206699082
war,camp,3.643778012248667
war,enemy,3.4311493945442337
mystery,killer,4.555130196356725
mystery,murder,4.348260069960495
mystery,murdered,4.171665544499205
mystery,mystery,3.773379372715549
mystery,shaggy,3.2780967284158087
mystery,police,3.2225038553652574
mystery,room,3.2211394922619427
mystery,death,3.1825571403442297
mystery,mysterious,3.1331014560132426
mystery,case,3.098102405579176
horror,body,5.103239937741941
horror,vampire,4.601287784260511
horror,kills,4.401319877729411
horror,creature,4.2277297107036045
horror,blood,4.078614023169453
horror,house,3.959937538912563
horror,zombies,3.636466654029123
horror,attacks,3.626169983547632
horror,zombie,3.5642491650263346
horror,dr,3.5628607904694616
animation,batman,3.7329512123148203
animation,scooby,3.6966950100756413
animation,shaggy,3.4786156462531483
animation,book,3.281362492474318
animation,gru,3.2588950467529028
animation,chipmunks,3.2550395785845816
animation,giant,3.1890224608531064
animation,golgo,3.070240221946093
animation,dominik,2.997712033817853
animation,velma,2.916484138065894
history,king,4.417121426985321
history,british,4.0440914973071544
history,war,3.7450165576421437
history,ip,3.64129758496845
history,soldiers,3.2218441439227687
history,japanese,2.9477832912495887
history,army,2.8785089355124973
history,roosevelt,2.8415825875492033
history,court,2.8096921091195073
history,soviet,2.7911896277839685
music,band,7.8608544701388094
music,music,6.973897446796565
music,song,6.395348457300546
music,musical,5.127559917433384
music,dance,4.881857812932013
music,concert,4.423806594931519
music,perform,4.185412971156141
music,performance,4.050581290236647
music,singer,3.856447483743361
music,songs,3.5533940402319844
family,kids,4.653229923444611
family,christmas,4.610884394479471
family,mr,4.557458052602103
family,children,4.293822714997889
family,family,4.1529227556642745
family,dog,3.5912852141891114
family,ernest,3.4839956739935616
family,animals,3.3286071356944418
family,fred,3.1030323852710215
family,named,2.9619065177052493
tv movie,christmas,4.3255390363195145
