title,Action,Science Fiction,Adventure,Drama,Crime,Thriller,Comedy,Romance,Western,Fantasy,War,Mystery,Horror,Animation,History,Music,Family,Tv Movie,Documentary
Inception,0.5923286464634205,0.7191053443199779,0.6806715803578601,0.3503470115405046,0.2110058672005176,0.3773366103869014,0.3345633765813511,0.2141944974698737,0.1034545996691763,0.3554018345530805,0.104684991753289,0.2878361863035432,0.2446168948738283,0.1725898503259547,0.1408492527578911,0.3025766698532595,0.3388293947456272,0.1203256577511428,0.0462359034268814
The Dark Knight,0.9339737949766668,0.362142845319848,0.2793884655018346,0.4978981612037533,0.9197343614537348,0.6619741057235766,0.2601092299169892,0.1339314363622286,0.1295515679449755,0.280770046291897,0.1180936583424986,0.3052609694546275,0.2384284258200338,0.5516628094706222,0.1304120423025329,0.0524466614619388,0.207481748836161,0.0456888837193615,0.0359971697394149
Avengers: Infinity War,0.8661468061860021,0.94412413717039,0.9069010051401606,0.1358129921349868,0.1612088703977081,0.2973071073896484,0.1915122057801554,0.1076485487071636,0.0992299688861352,0.4613843272405589,0.0926323549362666,0.2288254427709725,0.3047074874049643,0.2435296398205907,0.0986981855339777,0.0955127909943071,0.2135001191426296,0.0914089259783853,0.0534470423136987
Fight Club,0.4202262767133651,0.194234040004066,0.2168510838759431,0.5625225174664807,0.4008944288470286,0.4335769420388382,0.3532001686515582,0.2611350775961292,0.0889806246752383,0.1394770163174672,0.0704434222904141,0.2268220252060818,0.2765485741458109,0.2544141998931858,0.1355542075357524,0.1499546519231597,0.2234776449502697,0.0570864485128227,0.0458260509761569
Forrest Gump,0.2923690867551981,0.2375947278329935,0.2052393545260183,0.7898562390634136,0.2631681795015003,0.162404767991435,0.6712401445062164,0.6344524459659826,0.0837615501873009,0.1768126938812858,0.1689259350129802,0.1745572084050032,0.1455202862232967,0.0916652020229652,0.2738590321674212,0.170829927267161,0.2251499600266567,0.0986424568775593,0.0437219388036026
Django Unchained,0.6503827523034146,0.2453361638219531,0.3287651194631804,0.5160051355585525,0.4483790628427308,0.3586768758930248,0.2558830032140013,0.1876371417370871,0.8402305367603345,0.2140457538108293,0.1672246029189227,0.1796325207913273,0.2363036915735126,0.1236353997340869,0.2017138392165714,0.1086625227803011,0.1369062582175397,0.0774941993889841,0.0417435648623535
The Shawshank Redemption,0.2719539692010632,0.1471669804080867,0.1435584938238523,0.6674886725596834,0.838727198104591,0.4800383508812181,0.360535390850749,0.197590797351292,0.13197518819297,0.0833141123259806,0.1351888305134511,0.2610351862495222,0.1687071548031345,0.1156140844322178,0.1481696132713724,0.1161500519018095,0.1411454592720172,0.0740270277181663,0.0505954903990002
Avengers: Endgame,0.8560428622862025,0.9680834759939564,0.9378043261921118,0.164334804272265,0.1144822740032136,0.1859739612076229,0.2315864136016798,0.1528494304632349,0.0984839994766422,0.531144902446844,0.1024029001637344,0.1775287243308972,0.154593750246419,0.2732440331470754,0.1424177733726856,0.1128603738037789,0.2527532266010705,0.1077162245301099,0.0473270419972647
The Matrix,0.8571560192391694,0.9451346833498708,0.8156899874655923,0.1643839877871592,0.2004661647383648,0.6266602388108236,0.1960655054793273,0.1401814704103388,0.1129825561661921,0.3090688141885178,0.1375134166351423,0.2032373902374592,0.3215057756152686,0.2041160045469505,0.1407545310569618,0.0964900340368065,0.1713125132106094,0.0651073368508756,0.0563935373541275
The Lord of the Rings: The Fellowship of the Ring,0.8389234154724199,0.2377093282670496,0.8777304306001023,0.1961537222835054,0.2252917533574406,0.2852378807873918,0.2397476628523382,0.2154030851258471,0.1143419404269287,0.8982150970578394,0.0929021414938316,0.1754813496365594,0.2115786210792625,0.1883953300905489,0.136377660207944,0.1063571566250673,0.2627035341759375,0.0750098484396677,0.0380935324645576
